,Comments,Domain,SUB-DOMAIN,SENTIMENT
0,". If there was a course/ unit advisor they may  have  advised me that quantitative and qualitative research units be completed prior to this one. Then I would have felt better equit to complete a research plan (assessment 2) to a higher standard. 
. I did not know how to find or use Turnitin. Sitll can't find the report from my 2nd assignment. 
. A unit over Christmas was very challenging with such family commitments, children home and such intense study that was more challenging than previous subjects. 
Very interesting unit.",OUTCOMES,Further Learning,positive
1,". If there was a course/ unit advisor they may  have  advised me that quantitative and qualitative research units be completed prior to this one. Then I would have felt better equit to complete a research plan (assessment 2) to a higher standard. 
. I did not know how to find or use Turnitin. Sitll can't find the report from my 2nd assignment. 
. A unit over Christmas was very challenging with such family commitments, children home and such intense study that was more challenging than previous subjects. 
Very interesting unit.",ASSESSMENT,Marking,positive
2,". If there was a course/ unit advisor they may  have  advised me that quantitative and qualitative research units be completed prior to this one. Then I would have felt better equit to complete a research plan (assessment 2) to a higher standard. 
. I did not know how to find or use Turnitin. Sitll can't find the report from my 2nd assignment. 
. A unit over Christmas was very challenging with such family commitments, children home and such intense study that was more challenging than previous subjects. 
Very interesting unit.",ASSESSMENT,Feedback/ return,positive
3,". If there was a course/ unit advisor they may  have  advised me that quantitative and qualitative research units be completed prior to this one. Then I would have felt better equit to complete a research plan (assessment 2) to a higher standard. 
. I did not know how to find or use Turnitin. Sitll can't find the report from my 2nd assignment. 
. A unit over Christmas was very challenging with such family commitments, children home and such intense study that was more challenging than previous subjects. 
Very interesting unit.",COURSE/UNIT DESIGN,Structure and expectations,positive
4,". If there was a course/ unit advisor they may  have  advised me that quantitative and qualitative research units be completed prior to this one. Then I would have felt better equit to complete a research plan (assessment 2) to a higher standard. 
. I did not know how to find or use Turnitin. Sitll can't find the report from my 2nd assignment. 
. A unit over Christmas was very challenging with such family commitments, children home and such intense study that was more challenging than previous subjects. 
Very interesting unit.",COURSE/UNIT DESIGN,Relevance (to work/life/discipline),positive
5,". If there was a course/ unit advisor they may  have  advised me that quantitative and qualitative research units be completed prior to this one. Then I would have felt better equit to complete a research plan (assessment 2) to a higher standard. 
. I did not know how to find or use Turnitin. Sitll can't find the report from my 2nd assignment. 
. A unit over Christmas was very challenging with such family commitments, children home and such intense study that was more challenging than previous subjects. 
Very interesting unit.",COURSE/UNIT DESIGN,Practical-theory links,positive
6,". If there was a course/ unit advisor they may  have  advised me that quantitative and qualitative research units be completed prior to this one. Then I would have felt better equit to complete a research plan (assessment 2) to a higher standard. 
. I did not know how to find or use Turnitin. Sitll can't find the report from my 2nd assignment. 
. A unit over Christmas was very challenging with such family commitments, children home and such intense study that was more challenging than previous subjects. 
Very interesting unit.",COURSE/UNIT DESIGN,Methods of learning and teaching,positive
7,". If there was a course/ unit advisor they may  have  advised me that quantitative and qualitative research units be completed prior to this one. Then I would have felt better equit to complete a research plan (assessment 2) to a higher standard. 
. I did not know how to find or use Turnitin. Sitll can't find the report from my 2nd assignment. 
. A unit over Christmas was very challenging with such family commitments, children home and such intense study that was more challenging than previous subjects. 
Very interesting unit.",OUTCOMES,Work application/ career,positive
8,". If there was a course/ unit advisor they may  have  advised me that quantitative and qualitative research units be completed prior to this one. Then I would have felt better equit to complete a research plan (assessment 2) to a higher standard. 
. I did not know how to find or use Turnitin. Sitll can't find the report from my 2nd assignment. 
. A unit over Christmas was very challenging with such family commitments, children home and such intense study that was more challenging than previous subjects. 
Very interesting unit.",OUTCOMES,Personal,positive
9,". If there was a course/ unit advisor they may  have  advised me that quantitative and qualitative research units be completed prior to this one. Then I would have felt better equit to complete a research plan (assessment 2) to a higher standard. 
. I did not know how to find or use Turnitin. Sitll can't find the report from my 2nd assignment. 
. A unit over Christmas was very challenging with such family commitments, children home and such intense study that was more challenging than previous subjects. 
Very interesting unit.",OUTCOMES,Knowledge & Skills,positive
10,". If there was a course/ unit advisor they may  have  advised me that quantitative and qualitative research units be completed prior to this one. Then I would have felt better equit to complete a research plan (assessment 2) to a higher standard. 
. I did not know how to find or use Turnitin. Sitll can't find the report from my 2nd assignment. 
. A unit over Christmas was very challenging with such family commitments, children home and such intense study that was more challenging than previous subjects. 
Very interesting unit.",OUTCOMES,Interpersonal,positive
11,". If there was a course/ unit advisor they may  have  advised me that quantitative and qualitative research units be completed prior to this one. Then I would have felt better equit to complete a research plan (assessment 2) to a higher standard. 
. I did not know how to find or use Turnitin. Sitll can't find the report from my 2nd assignment. 
. A unit over Christmas was very challenging with such family commitments, children home and such intense study that was more challenging than previous subjects. 
Very interesting unit.",OUTCOMES,Intellectual,positive
12,". If there was a course/ unit advisor they may  have  advised me that quantitative and qualitative research units be completed prior to this one. Then I would have felt better equit to complete a research plan (assessment 2) to a higher standard. 
. I did not know how to find or use Turnitin. Sitll can't find the report from my 2nd assignment. 
. A unit over Christmas was very challenging with such family commitments, children home and such intense study that was more challenging than previous subjects. 
Very interesting unit.",ASSESSMENT,Relevance,positive
13,". If there was a course/ unit advisor they may  have  advised me that quantitative and qualitative research units be completed prior to this one. Then I would have felt better equit to complete a research plan (assessment 2) to a higher standard. 
. I did not know how to find or use Turnitin. Sitll can't find the report from my 2nd assignment. 
. A unit over Christmas was very challenging with such family commitments, children home and such intense study that was more challenging than previous subjects. 
Very interesting unit.",ASSESSMENT,Standards,positive
14,". If there was a course/ unit advisor they may  have  advised me that quantitative and qualitative research units be completed prior to this one. Then I would have felt better equit to complete a research plan (assessment 2) to a higher standard. 
. I did not know how to find or use Turnitin. Sitll can't find the report from my 2nd assignment. 
. A unit over Christmas was very challenging with such family commitments, children home and such intense study that was more challenging than previous subjects. 
Very interesting unit.",ASSESSMENT,Expectations,positive
15,". If there was a course/ unit advisor they may  have  advised me that quantitative and qualitative research units be completed prior to this one. Then I would have felt better equit to complete a research plan (assessment 2) to a higher standard. 
. I did not know how to find or use Turnitin. Sitll can't find the report from my 2nd assignment. 
. A unit over Christmas was very challenging with such family commitments, children home and such intense study that was more challenging than previous subjects. 
Very interesting unit.",COURSE/UNIT DESIGN,Flexibility/ responsiveness,positive
16,"1- teacher be more technologically informed. comparing 9 units including law, the cloud sight has been used terribly in this unit. Lectures advised at start recordings would not be re done if failed including a summary.
2- book prob, next ed. not available.not enough old o
2- Rubric for assignment handed out after marking only.
3 - teacher not very approachable on cloud sight, always telling us to read other comments even when it is not helpful to read other students and teacher comment.
4 - advising that law units dont use cloud,group box, assignment result emailed incl rubric not in cloud",COURSE/UNIT DESIGN,Methods of learning and teaching,negative
17,"1- teacher be more technologically informed. comparing 9 units including law, the cloud sight has been used terribly in this unit. Lectures advised at start recordings would not be re done if failed including a summary.
2- book prob, next ed. not available.not enough old o
2- Rubric for assignment handed out after marking only.
3 - teacher not very approachable on cloud sight, always telling us to read other comments even when it is not helpful to read other students and teacher comment.
4 - advising that law units dont use cloud,group box, assignment result emailed incl rubric not in cloud",ASSESSMENT,Marking,negative
18,"1- teacher be more technologically informed. comparing 9 units including law, the cloud sight has been used terribly in this unit. Lectures advised at start recordings would not be re done if failed including a summary.
2- book prob, next ed. not available.not enough old o
2- Rubric for assignment handed out after marking only.
3 - teacher not very approachable on cloud sight, always telling us to read other comments even when it is not helpful to read other students and teacher comment.
4 - advising that law units dont use cloud,group box, assignment result emailed incl rubric not in cloud",ASSESSMENT,Feedback/ return,negative
